turns = 2; speed = 50
0.00;0.00
0.00;2877.93
0.00;2877.93
0.00;2877.93
0.00;0.00
0.00;2877.93
0.00;2877.93
0.00;2877.93
0.00;0.00
0.00;0.00
0.00;0.00
0.00;2877.93
0.00;2877.93
0.00;2877.93
0.00;0.00
0.00;2877.93
0.00;2877.93
0.00;0.00
0.00;2877.93
0.00;0.00
0.00;2877.93
0.00;2877.93
0.00;2877.93
0.00;0.00
0.00;0.00
0.00;0.00
0.00;0.00
0.00;2877.93
0.00;2877.93
0.00;2877.93
0.00;0.00
0.00;0.00
0.00;2877.93
0.00;2877.93
0.00;2877.93

